Source IP,Destination IP,Source Port,Destination Port,Protocol,Packet Size (Bytes),datetime,date,hour
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:52:40.304200888,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:46:38.138695002,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:51:22.124686956,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:52:12.732616901,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:49:19.338097095,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:49:05.071240902,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:42:55.759704113,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:51:35.032205104,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:47:19.641958952,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:40:48.022780895,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:41:02.866890907,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:49:31.032386065,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:49:21.874449015,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:46:40.001590014,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:49:26.439642906,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:52:07.745373011,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:47:44.268649101,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:50:22.414282084,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:47:22.236645937,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:46:14.150132895,2011-08-18,13
96.63.245.54,147.32.84.59,-29866,19181,UDP,42,2011-08-18 13:52:36.807753086,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:52:35.744311094,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:50:03.740468979,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:47:18.053078890,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:48:38.374806881,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:50:15.406274080,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:51:51.732161045,2011-08-18,13
128.178.78.132,147.32.84.59,-14356,19146,UDP,42,2011-08-18 13:51:40.571125984,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:50:32.773113966,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:52:19.988137007,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:43:42.675621986,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:42:15.453538895,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:41:26.995467901,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:49:00.689320087,2011-08-18,13
96.63.245.54,147.32.84.59,-29866,19181,UDP,42,2011-08-18 13:52:58.285854101,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:51:00.971357107,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:52:36.935066938,2011-08-18,13
128.178.78.132,147.32.84.59,-14356,19146,UDP,42,2011-08-18 13:44:05.164063931,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:44:37.009493113,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:50:05.505434990,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:52:18.868633032,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:42:23.870327950,2011-08-18,13
96.63.245.54,147.32.84.59,-29866,19181,UDP,42,2011-08-18 13:52:35.621932983,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:48:20.976392031,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:53:01.661736012,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:40:39.036485910,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:50:19.921850920,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:43:59.191806078,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:42:04.460870981,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:50:32.529609919,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:47:07.418757915,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:51:59.777496099,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:51:52.004300117,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:49:38.836399078,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:50:01.369014025,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:45:50.114826918,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:52:57.632204056,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:42:48.153335094,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:50:07.678884983,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:51:49.928544044,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:45:29.007611036,2011-08-18,13
96.63.245.54,147.32.84.59,-29866,19181,UDP,42,2011-08-18 13:52:42.426062107,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:41:22.431400061,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:42:03.593890905,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:49:58.377140045,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:46:10.623496056,2011-08-18,13
128.178.78.132,147.32.84.59,-14356,19146,UDP,42,2011-08-18 13:48:19.529666901,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:52:45.549453020,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:47:26.313455105,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:51:25.860107899,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:49:05.876276970,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:50:21.230633974,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:42:32.701951027,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:47:13.814937115,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:53:14.085028887,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:48:04.573539972,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:50:35.238490105,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:53:13.901762009,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:52:24.194189072,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:47:59.416980028,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:41:12.021023989,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:51:00.291502953,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:49:32.592375994,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:47:30.588437080,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:50:43.933053017,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:49:13.022988081,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:44:43.515537977,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:45:29.298141956,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:51:44.543729067,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:53:03.068924904,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:51:01.714451075,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:52:09.769221067,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:49:28.728605986,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:40:57.274199009,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:45:58.676587105,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:48:47.147250891,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:48:06.026369095,2011-08-18,13
8.20.213.40,147.32.84.59,80,-15128,TCP,54,2011-08-18 13:49:20.987500906,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:44:02.901077032,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:47:48.665921926,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:48:07.318780899,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:52:08.640207052,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:47:28.818465948,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:51:06.021612883,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:51:19.171562910,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:46:31.763251066,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:53:02.215473890,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:52:28.908313990,2011-08-18,13
8.20.213.40,147.32.84.59,80,-15128,TCP,54,2011-08-18 13:49:21.125387907,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:53:00.939275026,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:51:59.047373056,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:49:18.750507116,2011-08-18,13
96.63.245.54,147.32.84.59,-29866,19181,UDP,42,2011-08-18 13:49:22.706090927,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:48:02.864893913,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:51:05.633649111,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:52:52.890933037,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:48:02.928241968,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:51:46.827163935,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:42:14.669351101,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:52:20.307894945,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:52:07.209340096,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:42:00.866816044,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:44:47.142044067,2011-08-18,13
74.63.47.82,147.32.84.59,80,-15486,TCP,54,2011-08-18 13:42:38.518678904,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:50:23.702197075,2011-08-18,13
24.70.55.162,147.32.84.59,-27789,-22449,UDP,42,2011-08-18 13:50:05.592701912,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:51:22.550360918,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:51:45.716171026,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:52:54.192781925,2011-08-18,13
96.63.245.54,147.32.84.59,-29866,19181,UDP,42,2011-08-18 13:52:40.135288954,2011-08-18,13
96.63.245.54,147.32.84.59,-29866,19181,UDP,42,2011-08-18 13:49:28.584556103,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:40:25.128928900,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:50:09.775868893,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:52:39.259567021,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:45:49.004471064,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:41:09.827925920,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:45:38.106180906,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:52:31.220573902,2011-08-18,13
96.63.245.54,147.32.84.59,-29866,19181,UDP,42,2011-08-18 13:51:31.047465086,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:46:43.459094048,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:51:19.492763042,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:43:27.503705025,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:48:46.542530060,2011-08-18,13
24.70.55.162,147.32.84.59,-27789,-22449,UDP,42,2011-08-18 13:50:51.469264984,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:50:49.719156027,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:50:02.155035019,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:52:07.257241011,2011-08-18,13
82.12.141.57,147.32.84.59,-32348,-22449,UDP,42,2011-08-18 13:45:52.821535110,2011-08-18,13
213.89.44.168,147.32.84.59,12649,-22449,UDP,42,2011-08-18 13:50:49.675286055,2011-08-18,13
84.202.57.30,147.32.84.59,-5390,-22449,UDP,42,2011-08-18 13:41:16.328392029,2011-08-18,13
83.253.212.223,147.32.84.59,10662,-22449,UDP,42,2011-08-18 13:50:11.858858109,2011-08-18,13
